,Rule_ID,Rule_Name,Rule_Description,Tag,Sample,Severity,Pattern,Confidence,Type,Language,Filename
0,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],NPM,Moderate,npm,Unspecified,String,javascript,fgh\scripts\devtools\utils.js
1,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],NPM,Moderate,npm,Unspecified,String,javascript,fgh\scripts\devtools\utils.js
2,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],NPM,Moderate,npm,Unspecified,String,javascript,fgh\scripts\devtools\utils.js
3,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],NPM,Moderate,npm,Unspecified,String,javascript,fgh\scripts\devtools\utils.js
4,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],npm,Moderate,npm,Unspecified,String,javascript,fgh\scripts\devtools\utils.js
5,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],npm,Moderate,npm,Unspecified,String,javascript,fgh\scripts\devtools\utils.js
6,AI001800,Cloud Service: Code Package Repository (NPM),Cloud Service: Code Package Repository (NPM),['CloudServices.Code.Repo.NPM'],NPM,Moderate,npm,Unspecified,String,javascript,fgh\scripts\devtools\utils.js
7,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\eslint-plugin-react-hooks\npm\index.js
8,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\eslint-plugin-react-hooks\src\ExhaustiveDeps.js
9,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\eslint-plugin-react-hooks\src\ExhaustiveDeps.js
10,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\eslint-plugin-react-hooks\src\ExhaustiveDeps.js
11,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\eslint-plugin-react-hooks\src\ExhaustiveDeps.js
12,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\eslint-plugin-react-hooks\src\ExhaustiveDeps.js
13,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\eslint-plugin-react-hooks\src\ExhaustiveDeps.js
14,AI027300,Hygiene: Todo Comment,Hygiene: Todo Comment,['Miscellaneous.CodeHygiene.Comment.Todo'],TODO,Moderate,todo,Unspecified,Regex,javascript,fgh\packages\eslint-plugin-react-hooks\src\ExhaustiveDeps.js
